Area,Period,SOC,Occupation Title,Base Year,Projected Year,Change,Percent,Total Annual Openings,Growth Annual Openings,Replacement Annual Openings
9,2012-2022,' 43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",6630,7110,480,7.2%,130,50,80
9,2012-2022,' 43-9000,Other Office and Administrative Support Workers,9780,9290,-490,-5%,190,0,190
9,2012-2022,' 43-9011,Computer Operators,120,90,-30,-25%,0,0,0
9,2012-2022,' 43-9021,Data Entry Keyers,720,500,-220,-30.6%,10,0,10
9,2012-2022,' 43-9022,Word Processors and Typists,710,490,-220,-31%,0,0,0
9,2012-2022,' 43-9041,Insurance Claims and Policy Processing Clerks,170,160,-10,-5.9%,0,0,0
9,2012-2022,' 43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",120,100,-20,-16.7%,0,0,0
9,2012-2022,' 43-9061,"Office Clerks, General",7170,7160,-10,-0.1%,150,0,150
9,2012-2022,' 43-9071,"Office Machine Operators, Except Computer",120,100,-20,-16.7%,0,0,0
9,2012-2022,' 43-9199,"Office and Administrative Support Workers, All Other",520,560,40,7.7%,20,0,20
9,2012-2022,' 45-0000,"Farming, Fishing, and Forestry Occupations",1270,1370,100,7.9%,50,10,40
9,2012-2022,' 45-2000,Agricultural Workers,1070,1190,120,11.2%,40,10,30
9,2012-2022,' 45-2091,Agricultural Equipment Operators,60,70,10,16.7%,0,0,0
9,2012-2022,' 45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",130,140,10,7.7%,0,0,0
9,2012-2022,' 45-4000,"Forest, Conservation, and Logging Workers",130,120,-10,-7.7%,0,0,0
9,2012-2022,' 45-4022,Logging Equipment Operators,60,60,0,0%,0,0,0
9,2012-2022,' 47-0000,Construction and Extraction Occupations,11700,12660,960,8.2%,300,100,200
9,2012-2022,' 47-1000,Supervisors of Construction and Extraction Workers,1130,1230,100,8.8%,20,10,10
9,2012-2022,' 47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,1130,1230,100,8.8%,20,10,10
9,2012-2022,' 47-2000,Construction Trades Workers,7730,8510,780,10.1%,210,80,130
9,2012-2022,' 47-2021,Brickmasons and Blockmasons,60,70,10,16.7%,0,0,0
9,2012-2022,' 47-2031,Carpenters,1710,1910,200,11.7%,40,20,20
9,2012-2022,' 47-2061,Construction Laborers,1990,2170,180,9%,60,20,40
9,2012-2022,' 47-2071,"Paving, Surfacing, and Tamping Equipment Operators",80,90,10,12.5%,0,0,0
9,2012-2022,' 47-2073,Operating Engineers and Other Construction Equipment Operators,720,740,20,2.8%,20,0,20
9,2012-2022,' 47-2111,Electricians,900,1000,100,11.1%,30,10,20
9,2012-2022,' 47-2141,"Painters, Construction and Maintenance",560,630,70,12.5%,20,10,10
9,2012-2022,' 47-2151,Pipelayers,90,100,10,11.1%,0,0,0
9,2012-2022,' 47-2152,"Plumbers, Pipefitters, and Steamfitters",510,580,70,13.7%,20,10,10
9,2012-2022,' 47-2181,Roofers,210,220,10,4.8%,0,0,0
9,2012-2022,' 47-2211,Sheet Metal Workers,210,230,20,9.5%,0,0,0
9,2012-2022,' 47-3000,"Helpers, Construction Trades",390,450,60,15.4%,20,10,10
9,2012-2022,' 47-3012,Helpers--Carpenters,180,200,20,11.1%,0,0,0
9,2012-2022,' 47-3013,Helpers--Electricians,80,100,20,25%,0,0,0
9,2012-2022,' 47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",50,60,10,20%,0,0,0
9,2012-2022,' 47-3016,Helpers--Roofers,50,60,10,20%,0,0,0
9,2012-2022,' 47-4000,Other Construction and Related Workers,2200,2230,30,1.4%,50,10,40
9,2012-2022,' 47-4011,Construction and Building Inspectors,350,360,10,2.9%,10,0,10
9,2012-2022,' 47-4031,Fence Erectors,50,60,10,20%,0,0,0
9,2012-2022,' 47-4051,Highway Maintenance Workers,1650,1630,-20,-1.2%,20,0,20
9,2012-2022,' 47-5000,Extraction Workers,250,240,-10,-4%,10,0,10
9,2012-2022,' 49-0000,"Installation, Maintenance, and Repair Occupations",11250,11840,590,5.2%,330,70,260
9,2012-2022,' 49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",840,870,30,3.6%,20,0,20
9,2012-2022,' 49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",840,870,30,3.6%,20,0,20
9,2012-2022,' 49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",1200,1210,10,0.8%,20,0,20
9,2012-2022,' 49-2011,"Computer, Automated Teller, and Office Machine Repairers",370,380,10,2.7%,10,0,10
9,2012-2022,' 49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",480,490,10,2.1%,10,0,10
9,2012-2022,' 49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",110,120,10,9.1%,0,0,0
9,2012-2022,' 49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",3040,3220,180,5.9%,100,20,80
9,2012-2022,' 49-3021,Automotive Body and Related Repairers,330,360,30,9.1%,10,0,10
9,2012-2022,' 49-3023,Automotive Service Technicians and Mechanics,1600,1710,110,6.9%,50,10,40
9,2012-2022,' 49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,440,460,20,4.5%,10,0,10
9,2012-2022,' 49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",120,130,10,8.3%,0,0,0
9,2012-2022,' 49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,110,110,0,0%,0,0,0
9,2012-2022,' 49-3093,Tire Repairers and Changers,190,210,20,10.5%,10,0,10
9,2012-2022,' 49-9000,"Other Installation, Maintenance, and Repair Occupations",6180,6540,360,5.8%,180,40,140
9,2012-2022,' 49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",150,140,-10,-6.7%,10,0,10
9,2012-2022,' 49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",550,560,10,1.8%,10,0,10
9,2012-2022,' 49-9031,Home Appliance Repairers,50,50,0,0%,0,0,0
9,2012-2022,' 49-9041,Industrial Machinery Mechanics,760,890,130,17.1%,30,10,20
9,2012-2022,' 49-9043,"Maintenance Workers, Machinery",280,300,20,7.1%,0,0,0
9,2012-2022,' 49-9051,Electrical Power-Line Installers and Repairers,140,140,0,0%,10,0,10
9,2012-2022,' 49-9052,Telecommunications Line Installers and Repairers,430,400,-30,-7%,10,0,10
9,2012-2022,' 49-9062,Medical Equipment Repairers,70,80,10,14.3%,0,0,0
9,2012-2022,' 49-9071,"Maintenance and Repair Workers, General",3070,3300,230,7.5%,80,20,60
9,2012-2022,' 49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",60,50,-10,-16.7%,0,0,0
9,2012-2022,' 49-9098,"Helpers--Installation, Maintenance, and Repair Workers",240,250,10,4.2%,10,0,10
9,2012-2022,' 49-9099,"Installation, Maintenance, and Repair Workers, All Other",210,220,10,4.8%,0,0,0
9,2012-2022,' 51-0000,Production Occupations,22790,22990,200,0.9%,530,70,460
9,2012-2022,' 51-1000,Supervisors of Production Workers,1520,1500,-20,-1.3%,20,0,20
9,2012-2022,' 51-1011,First-Line Supervisors of Production and Operating Workers,1520,1500,-20,-1.3%,20,0,20
9,2012-2022,' 51-2000,Assemblers and Fabricators,5920,5930,10,0.2%,100,10,90
9,2012-2022,' 51-2021,"Coil Winders, Tapers, and Finishers",90,90,0,0%,0,0,0
9,2012-2022,' 51-2022,Electrical and Electronic Equipment Assemblers,1800,1730,-70,-3.9%,20,0,20
9,2012-2022,' 51-2023,Electromechanical Equipment Assemblers,250,230,-20,-8%,0,0,0
9,2012-2022,' 51-2092,Team Assemblers,2830,2850,20,0.7%,50,0,50
9,2012-2022,' 51-2099,"Assemblers and Fabricators, All Other",570,660,90,15.8%,20,10,10
9,2012-2022,' 51-3000,Food Processing Workers,1040,1120,80,7.7%,40,10,30
9,2012-2022,' 51-3011,Bakers,250,260,10,4%,10,0,10
9,2012-2022,' 51-3021,Butchers and Meat Cutters,150,150,0,0%,0,0,0
9,2012-2022,' 51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",70,70,0,0%,0,0,0
9,2012-2022,' 51-3092,Food Batchmakers,240,260,20,8.3%,10,0,10
9,2012-2022,' 51-3093,Food Cooking Machine Operators and Tenders,280,310,30,10.7%,10,0,10
9,2012-2022,' 51-4000,Metal Workers and Plastic Workers,5380,5460,80,1.5%,150,30,120
9,2012-2022,' 51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",1230,1390,160,13%,50,20,30
9,2012-2022,' 51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",90,120,30,33.3%,0,0,0
9,2012-2022,' 51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",150,130,-20,-13.3%,0,0,0
9,2012-2022,' 51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",400,350,-50,-12.5%,0,0,0
9,2012-2022,' 51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",260,220,-40,-15.4%,10,0,10
9,2012-2022,' 51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",110,90,-20,-18.2%,0,0,0
9,2012-2022,' 51-4041,Machinists,1410,1490,80,5.7%,40,10,30
9,2012-2022,' 51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",310,270,-40,-12.9%,0,0,0
9,2012-2022,' 51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",50,50,0,0%,0,0,0
9,2012-2022,' 51-4111,Tool and Die Makers,220,220,0,0%,0,0,0
9,2012-2022,' 51-4121,"Welders, Cutters, Solderers, and Brazers",590,590,0,0%,10,0,10
9,2012-2022,' 51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",150,180,30,20%,0,0,0
9,2012-2022,' 51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",70,60,-10,-14.3%,0,0,0
9,2012-2022,' 51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",190,170,-20,-10.5%,0,0,0
9,2012-2022,' 51-5100,Printing Workers,600,590,-10,-1.7%,10,0,10
9,2012-2022,' 51-5112,Printing Press Operators,470,470,0,0%,10,0,10
9,2012-2022,' 51-5113,Print Binding and Finishing Workers,80,80,0,0%,0,0,0
9,2012-2022,' 51-6000,"Textile, Apparel, and Furnishings Workers",740,740,0,0%,10,0,10
9,2012-2022,' 51-6011,Laundry and Dry-Cleaning Workers,330,340,10,3%,10,0,10
9,2012-2022,' 51-6021,"Pressers, Textile, Garment, and Related Materials",90,90,0,0%,0,0,0
9,2012-2022,' 51-6031,Sewing Machine Operators,150,140,-10,-6.7%,0,0,0
9,2012-2022,' 51-6093,Upholsterers,70,70,0,0%,0,0,0
9,2012-2022,' 51-7000,Woodworkers,560,590,30,5.4%,10,0,10
9,2012-2022,' 51-7011,Cabinetmakers and Bench Carpenters,200,200,0,0%,0,0,0
9,2012-2022,' 51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",150,160,10,6.7%,0,0,0
9,2012-2022,' 51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",150,160,10,6.7%,0,0,0
9,2012-2022,' 51-8000,Plant and System Operators,390,400,10,2.6%,10,0,10
9,2012-2022,' 51-8021,Stationary Engineers and Boiler Operators,110,120,10,9.1%,0,0,0
9,2012-2022,' 51-8031,Water and Wastewater Treatment Plant and System Operators,230,230,0,0%,10,0,10
9,2012-2022,' 51-9000,Other Production Occupations,6640,6670,30,0.5%,170,20,150
9,2012-2022,' 51-9011,Chemical Equipment Operators and Tenders,70,70,0,0%,0,0,0
9,2012-2022,' 51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",250,280,30,12%,10,0,10
9,2012-2022,' 51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",110,100,-10,-9.1%,0,0,0
9,2012-2022,' 51-9022,"Grinding and Polishing Workers, Hand",140,130,-10,-7.1%,0,0,0
9,2012-2022,' 51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",610,570,-40,-6.6%,20,0,20
9,2012-2022,' 51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",210,190,-20,-9.5%,0,0,0
9,2012-2022,' 51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",380,370,-10,-2.6%,10,0,10
9,2012-2022,' 51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",70,60,-10,-14.3%,0,0,0
9,2012-2022,' 51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",1530,1560,30,2%,30,0,30
9,2012-2022,' 51-9071,Jewelers and Precious Stone and Metal Workers,90,80,-10,-11.1%,0,0,0
9,2012-2022,' 51-9081,Dental Laboratory Technicians,50,50,0,0%,0,0,0
9,2012-2022,' 51-9083,Ophthalmic Laboratory Technicians,90,100,10,11.1%,0,0,0
9,2012-2022,' 51-9111,Packaging and Filling Machine Operators and Tenders,1030,1100,70,6.8%,30,10,20
9,2012-2022,' 51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",250,250,0,0%,10,0,10
9,2012-2022,' 51-9122,"Painters, Transportation Equipment",60,60,0,0%,0,0,0
9,2012-2022,' 51-9123,"Painting, Coating, and Decorating Workers",80,80,0,0%,0,0,0
9,2012-2022,' 51-9151,Photographic Process Workers and Processing Machine Operators,60,60,0,0%,0,0,0
9,2012-2022,' 51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",80,80,0,0%,0,0,0
9,2012-2022,' 51-9196,"Paper Goods Machine Setters, Operators, and Tenders",230,220,-10,-4.3%,0,0,0
9,2012-2022,' 51-9198,Helpers--Production Workers,850,890,40,4.7%,20,0,20
9,2012-2022,' 51-9199,"Production Workers, All Other",210,200,-10,-4.8%,10,0,10
9,2012-2022,' 53-0000,Transportation and Material Moving Occupations,16360,17290,930,5.7%,460,100,360
9,2012-2022,' 53-1000,Supervisors of Transportation and Material Moving Workers,630,660,30,4.8%,20,0,20
9,2012-2022,' 53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,390,420,30,7.7%,10,0,10
9,2012-2022,' 53-3000,Motor Vehicle Operators,8160,8760,600,7.4%,190,60,130
9,2012-2022,' 53-3021,"Bus Drivers, Transit and Intercity",330,360,30,9.1%,10,0,10
9,2012-2022,' 53-3022,"Bus Drivers, School or Special Client",1460,1490,30,2.1%,30,0,30
9,2012-2022,' 53-3031,Driver/Sales Workers,940,1000,60,6.4%,30,10,20
9,2012-2022,' 53-3032,Heavy and Tractor-Trailer Truck Drivers,2820,3050,230,8.2%,70,20,50
9,2012-2022,' 53-3033,Light Truck or Delivery Services Drivers,1480,1580,100,6.8%,30,10,20
9,2012-2022,' 53-3041,Taxi Drivers and Chauffeurs,1020,1150,130,12.7%,20,10,10
9,2012-2022,' 53-4000,Rail Transportation Workers,210,210,0,0%,10,0,10
9,2012-2022,' 53-4031,Railroad Conductors and Yardmasters,120,120,0,0%,0,0,0
9,2012-2022,' 53-6000,Other Transportation Workers,290,310,20,6.9%,10,0,10
9,2012-2022,' 53-6021,Parking Lot Attendants,100,110,10,10%,10,0,10
9,2012-2022,' 53-6031,Automotive and Watercraft Service Attendants,100,120,20,20%,0,0,0
9,2012-2022,' 53-7000,Material Moving Workers,6960,7220,260,3.7%,220,30,190
9,2012-2022,' 53-7032,Excavating and Loading Machine and Dragline Operators,60,60,0,0%,0,0,0
9,2012-2022,' 53-7051,Industrial Truck and Tractor Operators,720,700,-20,-2.8%,20,0,20
9,2012-2022,' 53-7061,Cleaners of Vehicles and Equipment,630,680,50,7.9%,30,10,20
9,2012-2022,' 53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",3570,3730,160,4.5%,130,20,110
9,2012-2022,' 53-7063,Machine Feeders and Offbearers,270,250,-20,-7.4%,10,0,10
9,2012-2022,' 53-7064,"Packers and Packagers, Hand",1270,1300,30,2.4%,30,0,30
9,2012-2022,' 53-7081,Refuse and Recyclable Material Collectors,360,420,60,16.7%,20,10,10
10,2012-2022,' 00-0000,"Total, All Occupations",696810,749130,52320,7.5%,22270,5830,16440
10,2012-2022,' 11-0000,Management Occupations,29450,31250,1800,6.1%,800,210,590
10,2012-2022,' 11-1000,Top Executives,11170,12050,880,7.9%,310,90,220
10,2012-2022,' 11-1011,Chief Executives,1500,1540,40,2.7%,30,0,30
10,2012-2022,' 11-1021,General and Operations Managers,8750,9590,840,9.6%,250,90,160
10,2012-2022,' 11-1031,Legislators,920,920,0,0%,20,0,20
10,2012-2022,' 11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",1570,1700,130,8.3%,40,10,30
10,2012-2022,' 11-2011,Advertising and Promotions Managers,50,50,0,0%,0,0,0
10,2012-2022,' 11-2021,Marketing Managers,420,470,50,11.9%,20,10,10
10,2012-2022,' 11-2022,Sales Managers,930,990,60,6.5%,30,10,20
10,2012-2022,' 11-2031,Public Relations and Fundraising Managers,170,190,20,11.8%,0,0,0
10,2012-2022,' 11-3000,Operations Specialties Managers,5700,6170,470,8.2%,160,50,110
10,2012-2022,' 11-3011,Administrative Services Managers,1050,1130,80,7.6%,30,10,20
10,2012-2022,' 11-3021,Computer and Information Systems Managers,940,1100,160,17%,30,20,10
10,2012-2022,' 11-3031,Financial Managers,1870,2010,140,7.5%,50,10,40
10,2012-2022,' 11-3051,Industrial Production Managers,730,730,0,0%,10,0,10
10,2012-2022,' 11-3061,Purchasing Managers,240,250,10,4.2%,10,0,10
10,2012-2022,' 11-3071,"Transportation, Storage, and Distribution Managers",290,310,20,6.9%,10,0,10
10,2012-2022,' 11-3111,Compensation and Benefits Managers,80,80,0,0%,0,0,0
10,2012-2022,' 11-3121,Human Resources Managers,380,440,60,15.8%,20,10,10
10,2012-2022,' 11-3131,Training and Development Managers,120,130,10,8.3%,0,0,0
10,2012-2022,' 11-9000,Other Management Occupations,11010,11320,310,2.8%,300,60,240
10,2012-2022,' 11-9021,Construction Managers,1080,1170,90,8.3%,30,10,20
10,2012-2022,' 11-9031,"Education Administrators, Preschool and Childcare Center/Program",360,410,50,13.9%,10,0,10
10,2012-2022,' 11-9032,"Education Administrators, Elementary and Secondary School",990,980,-10,-1%,30,0,30
10,2012-2022,' 11-9033,"Education Administrators, Postsecondary",560,620,60,10.7%,30,10,20
10,2012-2022,' 11-9039,"Education Administrators, All Other",50,50,0,0%,0,0,0
10,2012-2022,' 11-9041,Architectural and Engineering Managers,490,500,10,2%,10,0,10
10,2012-2022,' 11-9051,Food Service Managers,1000,1070,70,7%,30,10,20
10,2012-2022,' 11-9081,Lodging Managers,60,60,0,0%,0,0,0
10,2012-2022,' 11-9111,Medical and Health Services Managers,1420,1540,120,8.5%,50,10,40
10,2012-2022,' 11-9121,Natural Sciences Managers,130,140,10,7.7%,0,0,0
10,2012-2022,' 11-9131,Postmasters and Mail Superintendents,130,90,-40,-30.8%,0,0,0
10,2012-2022,' 11-9141,"Property, Real Estate, and Community Association Managers",440,470,30,6.8%,10,0,10
10,2012-2022,' 11-9151,Social and Community Service Managers,780,890,110,14.1%,30,10,20
10,2012-2022,' 11-9199,"Managers, All Other",1950,1990,40,2.1%,40,0,40
10,2012-2022,' 13-0000,Business and Financial Operations Occupations,30910,34120,3210,10.4%,980,330,650
10,2012-2022,' 13-1000,Business Operations Specialists,18180,20020,1840,10.1%,520,190,330
10,2012-2022,' 13-1022,"Wholesale and Retail Buyers, Except Farm Products",550,600,50,9.1%,20,10,10
10,2012-2022,' 13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1360,1430,70,5.1%,40,10,30
10,2012-2022,' 13-1031,"Claims Adjusters, Examiners, and Investigators",1760,1760,0,0%,40,0,40
10,2012-2022,' 13-1032,"Insurance Appraisers, Auto Damage",70,60,-10,-14.3%,0,0,0
10,2012-2022,' 13-1041,Compliance Officers,1890,1980,90,4.8%,50,10,40
10,2012-2022,' 13-1051,Cost Estimators,930,1080,150,16.1%,50,20,30
10,2012-2022,' 13-1071,Human Resources Specialists,1960,2120,160,8.2%,60,20,40
10,2012-2022,' 13-1075,Labor Relations Specialists,720,710,-10,-1.4%,10,0,10
10,2012-2022,' 13-1081,Logisticians,280,330,50,17.9%,10,10,0
10,2012-2022,' 13-1111,Management Analysts,2160,2460,300,13.9%,60,30,30
10,2012-2022,' 13-1121,"Meeting, Convention, and Event Planners",350,460,110,31.4%,20,10,10
10,2012-2022,' 13-1131,Fundraisers,260,300,40,15.4%,10,0,10
10,2012-2022,' 13-1141,"Compensation, Benefits, and Job Analysis Specialists",590,620,30,5.1%,10,0,10
10,2012-2022,' 13-1151,Training and Development Specialists,1330,1490,160,12%,40,20,20
10,2012-2022,' 13-1161,Market Research Analysts and Marketing Specialists,1650,2100,450,27.3%,70,50,20
10,2012-2022,' 13-1199,"Business Operations Specialists, All Other",2240,2420,180,8%,50,20,30
10,2012-2022,' 13-2000,Financial Specialists,12730,14110,1380,10.8%,470,150,320
10,2012-2022,' 13-2011,Accountants and Auditors,6440,7470,1030,16%,290,100,190
10,2012-2022,' 13-2021,Appraisers and Assessors of Real Estate,440,430,-10,-2.3%,0,0,0
10,2012-2022,' 13-2031,Budget Analysts,120,140,20,16.7%,10,0,10
10,2012-2022,' 13-2041,Credit Analysts,310,340,30,9.7%,10,0,10
10,2012-2022,' 13-2051,Financial Analysts,800,890,90,11.3%,30,10,20
10,2012-2022,' 13-2052,Personal Financial Advisors,950,1130,180,18.9%,40,20,20
10,2012-2022,' 13-2053,Insurance Underwriters,740,670,-70,-9.5%,20,0,20
10,2012-2022,' 13-2061,Financial Examiners,50,50,0,0%,0,0,0
10,2012-2022,' 13-2071,Credit Counselors,110,120,10,9.1%,0,0,0
10,2012-2022,' 13-2072,Loan Officers,1240,1280,40,3.2%,30,10,20
10,2012-2022,' 13-2081,"Tax Examiners and Collectors, and Revenue Agents",480,470,-10,-2.1%,20,0,20
10,2012-2022,' 13-2082,Tax Preparers,280,320,40,14.3%,10,0,10
10,2012-2022,' 13-2099,"Financial Specialists, All Other",780,810,30,3.8%,10,0,10
10,2012-2022,' 15-0000,Computer and Mathematical Occupations,14780,17160,2380,16.1%,500,240,260
10,2012-2022,' 15-1100,Computer Occupations,13770,15760,1990,14.5%,430,200,230
10,2012-2022,' 15-1121,Computer Systems Analysts,1980,2520,540,27.3%,80,50,30
10,2012-2022,' 15-1122,Information Security Analysts,190,260,70,36.8%,10,10,0
10,2012-2022,' 15-1131,Computer Programmers,2140,2300,160,7.5%,80,20,60
10,2012-2022,' 15-1132,"Software Developers, Applications",1770,2160,390,22%,60,40,20
10,2012-2022,' 15-1134,Web Developers,510,580,70,13.7%,20,10,10
10,2012-2022,' 15-1141,Database Administrators,430,480,50,11.6%,20,10,10
10,2012-2022,' 15-1142,Network and Computer Systems Administrators,1350,1440,90,6.7%,30,10,20
10,2012-2022,' 15-1143,Computer Network Architects,510,530,20,3.9%,10,0,10
10,2012-2022,' 15-1151,Computer User Support Specialists,2940,3270,330,11.2%,80,30,50
10,2012-2022,' 15-1152,Computer Network Support Specialists,540,570,30,5.6%,10,0,10
10,2012-2022,' 15-1199,"Computer Occupations, All Other",510,600,90,17.6%,20,10,10
10,2012-2022,' 15-2000,Mathematical Science Occupations,1010,1390,380,37.6%,60,40,20
10,2012-2022,' 17-0000,Architecture and Engineering Occupations,8100,8310,210,2.6%,230,30,200
10,2012-2022,' 17-1000,"Architects, Surveyors, and Cartographers",750,810,60,8%,30,10,20
10,2012-2022,' 17-1011,"Architects, Except Landscape and Naval",390,430,40,10.3%,10,0,10
10,2012-2022,' 17-1012,Landscape Architects,120,130,10,8.3%,0,0,0
10,2012-2022,' 17-1022,Surveyors,220,230,10,4.5%,10,0,10
10,2012-2022,' 17-2000,Engineers,4870,5010,140,2.9%,160,20,140
10,2012-2022,' 17-2041,Chemical Engineers,120,130,10,8.3%,0,0,0
10,2012-2022,' 17-2051,Civil Engineers,790,860,70,8.9%,30,10,20
10,2012-2022,' 17-2061,Computer Hardware Engineers,60,60,0,0%,0,0,0
10,2012-2022,' 17-2071,Electrical Engineers,600,620,20,3.3%,10,0,10
10,2012-2022,' 17-2072,"Electronics Engineers, Except Computer",130,140,10,7.7%,0,0,0
10,2012-2022,' 17-2081,Environmental Engineers,220,230,10,4.5%,10,0,10
10,2012-2022,' 17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",140,160,20,14.3%,0,0,0
10,2012-2022,' 17-2112,Industrial Engineers,1140,1140,0,0%,30,0,30
10,2012-2022,' 17-2131,Materials Engineers,70,70,0,0%,0,0,0
10,2012-2022,' 17-2141,Mechanical Engineers,1330,1320,-10,-0.8%,50,0,50
10,2012-2022,' 17-2199,"Engineers, All Other",190,180,-10,-5.3%,0,0,0
10,2012-2022,' 17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",2480,2500,20,0.8%,40,0,40
10,2012-2022,' 17-3011,Architectural and Civil Drafters,330,340,10,3%,0,0,0
10,2012-2022,' 17-3012,Electrical and Electronics Drafters,110,110,0,0%,0,0,0
10,2012-2022,' 17-3013,Mechanical Drafters,480,450,-30,-6.3%,10,0,10
10,2012-2022,' 17-3022,Civil Engineering Technicians,200,210,10,5%,0,0,0
10,2012-2022,' 17-3023,Electrical and Electronics Engineering Technicians,480,490,10,2.1%,10,0,10
10,2012-2022,' 17-3025,Environmental Engineering Technicians,60,60,0,0%,0,0,0
10,2012-2022,' 17-3026,Industrial Engineering Technicians,300,310,10,3.3%,10,0,10
10,2012-2022,' 17-3027,Mechanical Engineering Technicians,160,170,10,6.3%,0,0,0
10,2012-2022,' 17-3029,"Engineering Technicians, Except Drafters, All Other",210,210,0,0%,0,0,0
10,2012-2022,' 17-3031,Surveying and Mapping Technicians,80,80,0,0%,0,0,0
10,2012-2022,' 19-0000,"Life, Physical, and Social Science Occupations",5880,6250,370,6.3%,210,40,170
10,2012-2022,' 19-1000,Life Scientists,1390,1490,100,7.2%,50,10,40
10,2012-2022,' 19-1012,Food Scientists and Technologists,100,140,40,40%,10,10,0
10,2012-2022,' 19-1022,Microbiologists,50,50,0,0%,0,0,0
10,2012-2022,' 19-1029,"Biological Scientists, All Other",70,70,0,0%,0,0,0
10,2012-2022,' 19-1031,Conservation Scientists,110,120,10,9.1%,0,0,0
10,2012-2022,' 19-1042,"Medical Scientists, Except Epidemiologists",680,680,0,0%,10,0,10
10,2012-2022,' 19-2000,Physical Scientists,810,870,60,7.4%,30,10,20
10,2012-2022,' 19-2031,Chemists,290,310,20,6.9%,10,0,10
10,2012-2022,' 19-2032,Materials Scientists,70,70,0,0%,0,0,0
10,2012-2022,' 19-2041,"Environmental Scientists and Specialists, Including Health",250,270,20,8%,10,0,10
10,2012-2022,' 19-2042,"Geoscientists, Except Hydrologists and Geographers",80,90,10,12.5%,0,0,0
10,2012-2022,' 19-3000,Social Scientists and Related Workers,1560,1740,180,11.5%,60,20,40
10,2012-2022,' 19-3031,"Clinical, Counseling, and School Psychologists",760,770,10,1.3%,20,0,20
10,2012-2022,' 19-3051,Urban and Regional Planners,180,190,10,5.6%,10,0,10
10,2012-2022,' 19-3093,Historians,70,70,0,0%,0,0,0
10,2012-2022,' 19-4000,"Life, Physical, and Social Science Technicians",2110,2160,50,2.4%,70,0,70
10,2012-2022,' 19-4011,Agricultural and Food Science Technicians,90,90,0,0%,0,0,0
10,2012-2022,' 19-4031,Chemical Technicians,520,530,10,1.9%,10,0,10
10,2012-2022,' 19-4091,"Environmental Science and Protection Technicians, Including Health",190,210,20,10.5%,10,0,10
10,2012-2022,' 21-0000,Community and Social Service Occupations,12540,13840,1300,10.4%,420,130,290
